127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml/dwr/test/UserManager HTTP/1.1" 200 29921
127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml/ HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml/login HTTP/1.1" 200 4721
127.0.0.1 - - [14/Sep/2015:21:09:34 -0600] "GET /noxml/assets/v/13647/main.css HTTP/1.1" 200 127172
127.0.0.1 - - [14/Sep/2015:21:09:35 -0600] "POST /noxml/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:35 -0600] "GET /noxml/app/home HTTP/1.1" 302 -
127.0.0.1 - - [14/Sep/2015:21:09:35 -0600] "GET /noxml/home HTTP/1.1" 200 3802
127.0.0.1 - - [14/Sep/2015:21:09:35 -0600] "GET /noxml/fileupload HTTP/1.1" 200 5886
127.0.0.1 - - [14/Sep/2015:21:09:35 -0600] "POST /noxml/fileupload HTTP/1.1" 200 5382
